HBL — Raw Bank Statement,,,,,,,,,,,,,
Account title,Truck It In (Private) Limited,,,,Opening balance,"3,250,000",,,,,,,
Account number,PK55HABB0022827200508103,,,,Total debits,"3,437,724",,,,,,,
Statement period,01-Jul-2025 to 31-Jul-2025,,,,Total credits,"4,185,650",,,,,,,
Currency,PKR,,,,Closing balance,"3,997,926",,,,,,,
,,,,,,,,,,,,,
Transaction Date,Value Date,Description,Reference,Debit (PKR),Credit (PKR),Balance (PKR),Transaction Type,Counterparty,Offset GL Code,FS Tag,Cash Flow Category,,https://github.com/abdullah-brar9/Aureus-ERP-Integration.git
01-Jul-2025,01-Jul-2025,IBFT CR - Daraz Pakistan settlement INV-DZ-250701,HBL250701001,,"685,000","3,935,000",Credit,,,Customer Collections,,,
01-Jul-2025,01-Jul-2025,Online transfer - Office rent July - Blue Area Properties,HBL250701002,"275,000",,"3,660,000",Debit,,,Real Estate,,,cd /var/www
02-Jul-2025,02-Jul-2025,Raast CR - Onic distribution collection Batch 0702,HBL250702003,,"412,500","4,072,500",Credit,,,Customer Collections,,,
02-Jul-2025,02-Jul-2025,POS 7712 - Shell F-8 Islamabad,HBL250702004,"18,450",,"4,054,050",Debit,,,Vendor Payout,,,sudo git clone https://github.com/abdullah-brar9/Aureus-ERP-Integration.git aureuserp
03-Jul-2025,03-Jul-2025,Cheque 104583 - Pak Cargo Fleet Services,CHQ104583,"335,000",,"3,719,050",Debit,,,Vendor Payout,,,
03-Jul-2025,03-Jul-2025,Withholding tax on cheque 104583,WHT104583,"3,350",,"3,715,700",Debit,,,WHT Vendor,,,sudo chown -R ubuntu:www-data aureuserp
04-Jul-2025,04-Jul-2025,IBFT CR - Sapphire merchant COD settlement,HBL250704007,,"298,750","4,014,450",Credit,,,Customer Collections,,,
04-Jul-2025,04-Jul-2025,Online payment - PTCL corporate internet June,HBL250704008,"42,800",,"3,971,650",Debit,,,Tech,,,cd aureuserp
05-Jul-2025,05-Jul-2025,ATM cash withdrawal - HBL Blue Area,ATM250705,"50,000",,"3,921,650",Debit,,,Cash Withdrawal,,,
07-Jul-2025,07-Jul-2025,Transfer to Meezan Bank payroll account,HBL250707011,"850,000",,"3,071,650",Debit,,,Contra,,,
08-Jul-2025,08-Jul-2025,IBFT CR - Merchant advance repayment - Saeed Ghani,HBL250708012,,"175,000","3,246,650",Credit,,,Recovery,,,
08-Jul-2025,08-Jul-2025,Online transfer - Vehicle maintenance - Toyota Islamabad,HBL250708013,"96,750",,"3,149,900",Debit,,,Vendor Payout,,,
09-Jul-2025,09-Jul-2025,Card 8821 - Microsoft 365 Business subscription,HBL250709014,"36,500",,"3,113,400",Debit,,,Tech,,,
09-Jul-2025,09-Jul-2025,Foreign transaction fee - Microsoft subscription,HBL250709015,"1,095",,"3,112,305",Debit,,,Bank Charges,,,
10-Jul-2025,10-Jul-2025,Cash deposit - Islamabad operations collections,CD250710,,"224,000","3,336,305",Credit,,,Customer Collections,,,
11-Jul-2025,11-Jul-2025,Cheque 104584 - Warehouse security deposit,CHQ104584,"200,000",,"3,136,305",Debit,,,Security Deposit,,,
12-Jul-2025,12-Jul-2025,IBFT CR - Daraz Pakistan settlement INV-DZ-250712,HBL250712018,,"742,500","3,878,805",Credit,,,Customer Collections,,,
14-Jul-2025,14-Jul-2025,Online transfer - Diesel supplier - PSO Fleet Card,HBL250714019,"386,200",,"3,492,605",Debit,,,Vendor Payout,,,
15-Jul-2025,15-Jul-2025,Bank service charges - July,HBL250715020,"2,500",,"3,490,105",Debit,,,Bank Charges,,,
15-Jul-2025,15-Jul-2025,FED on bank service charges,HBL250715021,400,,"3,489,705",Debit,,,Bank Charges,,,
16-Jul-2025,16-Jul-2025,Raast CR - Corporate delivery customer AR-1098,HBL250716022,,"455,000","3,944,705",Credit,,,Customer Collections,,,
17-Jul-2025,17-Jul-2025,Online payment - Jazz corporate mobile bill,HBL250717023,"58,750",,"3,885,955",Debit,,,Tech,,,
18-Jul-2025,18-Jul-2025,Cheque 104585 - Packaging material supplier,CHQ104585,"148,600",,"3,737,355",Debit,,,Vendor Payout,,,
